url,Picture URL,Brand,Product Name,Model,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Hard Disk,Console Type,AV Digital Output,RAM,Input method,Screen Size,Alternate names,Memory Card,USB,Ethernet,Processor,Graphics,Weight,Battery Type,Console Family,Launched,Wi-Fi,HDMI
https://gadgets.ndtv.com/sony-playstation-3-11993,https://i.gadgets360cdn.com/products/large/1549529231_635_ps3_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,Sony Playstation 3 (Black),PlayStation 3,"₹ 13,900",258,13,3,7,17,60,"12GB, 500GB",Home Console,"Composite video (S-Video, RGB SCART); Component (D-Terminal), Optical out",256MB,Disc,,,,4 USB 2.0 ports,Yes,3.2GHz Cell Broadband Engine,550MHz,2.1kg,,Sony PlayStation 3,November 2006,Yes,Yes
https://gadgets.ndtv.com/nintendo-dsi-xl-12024,https://i.gadgets360cdn.com/products/large/1550059330_635_nintendo_DSI_XL.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo,,DSi XL,,,0,0,0,0,0,256MB,Handheld Console,No,16MB,Cartridge,4.2-inches (upper); 4.2-inches (lower),,Yes,No,No,ARM9 @ 133MHz; ARM7 @33MHz,No,314g,Li-ion,Nintendo DS,March 2010,Yes,No
https://gadgets.ndtv.com/sony-playstation-3-11993,https://i.gadgets360cdn.com/products/large/1549529231_635_ps3_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Sony,"Sony Playstation 3 (Black, 500GB)",PlayStation 3,"₹ 22,500",258,13,3,7,17,60,"12GB, 500GB",Home Console,"Composite video (S-Video, RGB SCART); Component (D-Terminal), Optical out",256MB,Disc,,,,4 USB 2.0 ports,Yes,3.2GHz Cell Broadband Engine,550MHz,2.1kg,,Sony PlayStation 3,November 2006,Yes,Yes
https://gadgets.ndtv.com/nintendo-ds-lite-12022,https://i.gadgets360cdn.com/products/large/1550057942_635_nintendo_ds_lite_.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo,,DS Lite,,,0,0,0,0,0,256KB,Handheld Console,No,4MB,Cartridge,3-inches (upper); 3-inches (lower),,No,No,No,ARM946E-S @ 67 MHz; ARM7TDMI @ 33 MHz,No,218g,Li-ion,Nintendo DS,June 2006,Yes,No
https://gadgets.ndtv.com/microsoft-xbox-360-11997,https://i.gadgets360cdn.com/products/large/1549531497_635_xbox_360_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,Microsoft Xbox 360 (Black),Xbox 360,"₹ 22,450",412,8,1,6,13,72,"4GB, 250GB",Home Console,"Composite video (S-Video); Component (D-Terminal), VGA",512MB,Disc,,,,4 USB 2.0 ports,Yes,3.2GHz PowerPC Tri-Core,512MB GDDR3 RAM,2.9kg,,Microsoft Xbox 360,November 2005,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-one-x-11989,https://i.gadgets360cdn.com/products/large/1549457475_635_xbox_one_x.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox One X (Black, 1TB)",Xbox One X,"₹ 43,990",297,14,3,5,12,66,1TB,Home Console,"HDMI-out, Optical Out",12GB,Disc,,,,3 USB 3.0 ports,Yes,AMD Jaguar 2.3GHz 8-core,AMD Radeon GCN 4.0,3.81kg,,Microsoft Xbox One,November 2017,Yes,Yes
https://gadgets.ndtv.com/microsoft-xbox-one-x-11989,https://i.gadgets360cdn.com/products/large/1549457475_635_xbox_one_x.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox One X (Grey, 1TB)",Xbox One X,"₹ 47,304",297,14,3,5,12,66,1TB,Home Console,"HDMI-out, Optical Out",12GB,Disc,,,,3 USB 3.0 ports,Yes,AMD Jaguar 2.3GHz 8-core,AMD Radeon GCN 4.0,3.81kg,,Microsoft Xbox One,November 2017,Yes,Yes
https://gadgets.ndtv.com/nintendo-dsi-12023,https://i.gadgets360cdn.com/products/large/1550058662_635_nintendo_dsi_.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo,,DSi,,,0,0,0,0,0,256MB,Handheld Console,No,16MB,Cartridge,3.25-inches (upper); 3.25-inches (lower),,Yes,No,No,ARM9 @ 133MHz; ARM7 @33MHz,No,214g,Li-ion,Nintendo DS,April 2009,Yes,No
https://gadgets.ndtv.com/nintendo-game-boy-micro-12034,https://i.gadgets360cdn.com/products/large/1550063938_635_game_boy_micro.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Nintendo,,Game Boy Micro,,,0,0,0,0,0,No,Handheld Console,No,,Cartridge,2-inches,Game Boy Advance Micro,No,No,No,ARM7TDMI @ 16.78 MHz; Zilog Z80 @ 8MHz/4MHz,No,80g,Li-ion,Nintendo Game Boy,September 2005,No,No
https://gadgets.ndtv.com/microsoft-xbox-one-s-11990,https://i.gadgets360cdn.com/products/large/1549457624_635_xbox_one_s.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Xbox One S (Gradient Purple, 1TB)",Xbox One S,"₹ 29,999",405,3,2,3,15,77,"500GB, 1TB, 2TB",Home Console,"HDMI-out, Optical Out",8GB,Disc,,,,3 USB 3.0 ports,Yes,AMD Jaguar 1.75GHz 8-core,AMD Durango 2 GCN 1.0,2.9kg,,Microsoft Xbox One,August 2016,Yes,Yes
