url,Picture URL,Brand,Product Name,Model,Price in India,Total Ratings,1 Stars,2 Stars,3 Stars,4 Stars,5 Stars,Launched,Front camera,Screen size (inches),Touchscreen,Rear camera,Wi-Fi,Internal storage,Bluetooth,Resolution,Operating system,Expandable storage,Accelerometer,Processor,GPS,Ambient light sensor,Gyroscope,Removable battery,RAM,Compass/ Magnetometer,Proximity sensor,Barometer,Wi-Fi Direct,FM,USB OTG,Headphones,NFC,Temperature sensor,Infrared,Mobile High-Definition Link (MHL),Expandable storage type,Processor make,Wi-Fi standards supported,Weight (g),Dimensions (mm),Battery capacity (mAh),Expandable storage up to (GB),Bluetooth version,Colours,Number of SIMs,Rear Flash,3G,4G/ LTE,Supports 4G in India (Band 40),Pixels per inch (PPI),GSM/CDMA,SIM Type,Form factor,Sim 2 3G,other_info
https://gadgets.ndtv.com/samsung-galaxy-tab-s5e-lte-12055,https://i.gadgets360cdn.com/products/large/1550306119_635_1550303699_635_Samsung_Galaxy_tabs5e_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Samsung,,Galaxy Tab S5e (LTE),,,0,0,0,0,100,February 2019,8-megapixel,10.50,Yes,13-megapixel,Yes,64GB,Yes,1600x2560 pixels,Android 9.0,Yes,Yes,octa-core,Yes,Yes,Yes,No,4GB,Yes,Yes,,Yes,,,,,,,,microSD,Qualcomm Snapdragon 670,802.11 a/b/g/n/ac,400.00,245.00 x 160.00 x 5.50,7040,512,5.00,"Black, Gold, Silver",,No,,,,290,,,Slate,,{'Front Flash': 'No'}
https://gadgets.ndtv.com/lenovo-yoga-tablet-2-windows-13-inch-2106,https://drop.ndtv.com/TECH/product_database/images/1030201435832PM_635_lenovo_yoga_tablet_2_windows8.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,,"Yoga Tablet 2 (Windows, 13-inch)",,,0,0,0,0,0,October 2014,1.6-megapixel,13.30,No,No,Yes,64GB,Yes,1440x2560 pixels,Windows 8.1,Yes,Yes,1.86GHz quad-core,No,Yes,No,No,4GB,No,Yes,No,No,No,No,3.5mm,No,No,No,No,microSD,Intel Atom Z3745,802.11 a/b/g/n,,,12800,64,,,,,,,,,,,,,{}
https://gadgets.ndtv.com/archos-133-oxygen-3761,https://drop.ndtv.com/TECH/product_database/images/95201625806PM_635_archos_133_tab_db_site.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Archos,,133 Oxygen,,,0,0,0,100,0,September 2016,2-megapixel,13.30,No,5-megapixel,Yes,64GB,Yes,1080x1920 pixels,Android 6.0,No,Yes,1.5GHz octa-core,Yes,No,No,No,2GB,No,No,No,No,No,Yes,3.5mm,No,No,No,No,microSD,Rockchip RK3368,,1170.00,,10000,128,,,,,,,,,,,,,{}
https://gadgets.ndtv.com/microsoft-surface-go-5541,https://i.gadgets360cdn.com/products/large/1553080844_635_microsoft_surface_go.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Microsoft,"Microsoft Surface Go Tablet (128GB, 10 Inches, Wi-Fi)",Surface Go,"₹ 49,999",626,16,5,6,13,60,July 2018,5-megapixel,10.00,Yes,8-megapixel,Yes,128GB,Yes,1800x1200 pixels,Windows 10 S,Yes,Yes,1.6GHz dual-core,,Yes,Yes,No,8GB,Yes,,,,No,,Yes,No,,No,,microSD,Intel Pentium Gold 4415Y,802.11 a/b/g/n/ac,522.00,245.00 x 175.00 x 8.30,,,4.10,,,No,,,,,,,Touchscreen,,{'Front Flash': 'No'}
https://gadgets.ndtv.com/motorola-moto-tab-4509,https://drop.ndtv.com/TECH/product_database/images/1114201715550PM_635_moto_tab.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Motorola,,Moto Tab,,,0,0,0,0,0,November 2017,5-megapixel,10.10,No,8-megapixel,Yes,32GB,Yes,1920x1080 pixels,Android 7.1,Yes,Yes,2GHz octa-core,Yes,No,No,No,2GB,Yes,No,No,No,No,Yes,3.5mm,No,No,No,No,microSD,Qualcomm Snapdragon 625,,,,7000,128,,,,Yes,,,,,,,,,{}
https://gadgets.ndtv.com/samsung-galaxy-tab-pro-12-2-1399,https://gadgets.ndtv.com/static/icons/tablet_icon.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Samsung,,Galaxy Tab Pro 12.2,,,0,0,0,0,0,February 2014,2-megapixel,12.20,No,8-megapixel,Yes,32GB,Yes,2560x1600 pixels,Android 4.4,No,Yes,1.9GHz one-core,Yes,Yes,No,No,3GB,Yes,Yes,No,Yes,No,No,3.5mm,No,No,No,No,SD card,,,753.00,203.00 x 295.00 x 7.95,9500,,,,,,,,,247,,,,,{}
https://gadgets.ndtv.com/apple-ipad-2-wi-fi-1411,https://gadgets.ndtv.com/static/icons/tablet_icon.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Apple,,iPad 2 Wi-Fi,,,0,0,0,0,0,March 2011,0.3-megapixel,9.70,No,0.7-megapixel,Yes,16GB,Yes,768x1024 pixels,iOS 4,No,Yes,1GHz one-core,Yes,No,Yes,No,512MB,Yes,No,No,No,No,No,3.5mm,No,No,No,No,microSD,,,607.00,241.20 x 185.70 x 8.80,6930,,,,,,,,,132,,,,,{}
https://gadgets.ndtv.com/pantel-penta-t-pad-ws1001q-3436,https://drop.ndtv.com/TECH/product_database/images/414201652137PM_635_penta_t_pad_ws1001q.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Pantel,,Penta T-Pad WS1001Q,,,100,0,0,0,0,April 2016,2-megapixel,10.10,No,5-megapixel,Yes,32GB,Yes,800x1280 pixels,Windows 10,Yes,Yes,1.44GHz quad-core,Yes,Yes,Yes,Yes,2GB,No,Yes,No,No,No,Yes,3.5mm,No,No,No,No,,Intel Core Z3735F,,,,7000,256,,Black,,LED,,,,,,,,,{}
https://gadgets.ndtv.com/toshiba-excite-go-1630,https://drop.ndtv.com/TECH/product_database/images/528201464737PM_635_toshiba_excite_go.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Toshiba,,Excite Go,,,0,0,0,0,0,May 2014,No,7.00,No,No,Yes,16GB,No,600x1024 pixels,Android 4.4,Yes,No,quad-core,No,No,No,No,1GB,No,No,No,No,No,No,3.5mm,No,No,No,No,,Intel Atom Z3735F,802.11 n,354.00,,,128,,Black,,,,,,,,,,,{}
https://gadgets.ndtv.com/samsung-galaxy-tab-a7-price-in-india-97487,https://i.gadgets360cdn.com/products/large/Galaxy-Tab-A7-launched-525x800-1601293535.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Samsung,,Galaxy Tab A7,,2,0,0,0,100,0,28th September 2020,5-megapixel,10.40,Yes,8-megapixel,Yes,32GB,Yes,2000x1200 pixels,Android 10,Yes,Yes,octa-core,Yes,Yes,Yes,No,3GB,,Yes,,,,,3.5mm,,,,,microSD,Qualcomm Snapdragon 662,,476.00,157.40 x 247.60 x 7.00,7040,1000,5.00,"Dark Gray, Gold, Silver",,No,,,,,,,Touchscreen,,"{'Skin': 'One UI 2.5', 'Front Flash': 'No', 'USB Type-C': 'Yes'}"
https://gadgets.ndtv.com/hp-pavilion-x2-10t-touch-2724,https://drop.ndtv.com/TECH/product_database/images/619201573607PM_635_hp_pavilion_x2_10t_touch.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,,Pavilion x2 - 10t Touch,,2,0,0,0,0,100,June 2015,0.9-megapixel,10.10,No,No,Yes,32GB,Yes,1280x800 pixels,Windows 8.1,Yes,No,1.3GHz quad-core,Yes,Yes,No,No,2GB,Yes,Yes,No,No,No,No,3.5mm,No,No,No,No,microSD,Intel Atom Z3736F,802.11 b/g/n,,,,,,"Red, Grey",,,,,,,,,,,{}
https://gadgets.ndtv.com/flipkart-digiflip-pro-xt901-1898,https://gadgets.ndtv.com/static/icons/tablet_icon.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Flipkart,,Digiflip Pro XT901,,,0,0,0,0,0,August 2014,2-megapixel,8.90,No,5-megapixel,Yes,16GB,No,1200x1920 pixels,Android 4.2,Yes,Yes,2GHz dual-core,No,No,No,No,2GB,No,Yes,No,No,No,No,3.5mm,No,No,No,No,microSD,Intel Atom Z2580,802.11 b/g/n,,,6500,32,,,,,,,,,,,,,{}
https://gadgets.ndtv.com/samsung-galaxy-note-10-1-2014-edition-1397,https://drop.ndtv.com/TECH/product_database/images/41201442108PM_635_galaxy_note_10_1_2014.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Samsung,,Galaxy Note 10.1 (2014 Edition),,,0,0,0,0,0,February 2014,2-megapixel,10.10,No,8-megapixel,Yes,16GB,Yes,2560x1600 pixels,Android 4.3,No,Yes,1.9GHz one-core,Yes,Yes,No,No,3GB,Yes,Yes,No,Yes,No,No,3.5mm,No,No,No,No,SD card,,,547.00,171.00 x 243.00 x 7.90,8220,,,,,,,,,299,,,,,{}
https://gadgets.ndtv.com/lava-xtron-mega-2391,https://cdn.gadgets360.com/content/assets/products/lava-xtron-mega-2391_960X480_1438858169.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lava,,Xtron Mega,,,0,0,0,0,0,February 2015,0.3-megapixel,10.10,No,2-megapixel,Yes,16GB,Yes,1280x800 pixels,Android 4.2,Yes,Yes,1.3GHz quad-core,Yes,No,No,No,1GB,Yes,Yes,No,No,Yes,No,3.5mm,No,No,No,No,microSD,,802.11 b/g/n,,,6000,32,,Black,,,,,,,,,,,{}
https://gadgets.ndtv.com/iball-slide-elan-3x32-5734,https://i.gadgets360cdn.com/products/large/1542027361_635_iball_slide_elan_db.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,iBall,"iBall Slide Elan 3X32 Tablet (32GB, 10.1 inches, 4G & Wifi, Matte Black)",Slide Elan 3x32,"₹ 12,499",28,25,4,11,11,50,November 2018,2-megapixel,10.10,Yes,5-megapixel,Yes,32GB,Yes,800x1280 pixels,,Yes,Yes,1.3GHz quad-core,Yes,Yes,,,3GB,,Yes,,,Yes,Yes,,,,,,microSD,,802.11 a/b/g/n,,,7000,64,4.00,,1,LED,Yes,,Yes,,GSM,Micro-SIM,Touchscreen,,{'Front Flash': 'No'}
https://gadgets.ndtv.com/lava-etab-xtron-1532,https://drop.ndtv.com/TECH/product_database/images/414201471522PM_635_lava_etab_xtron.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lava,,Etab Xtron,,,0,0,0,0,0,April 2013,No,7.00,No,2-megapixel,No,8GB,No,1024x600 pixels,Android 4.1,Yes,No,1.5GHz dual-core,No,No,No,No,1GB,No,No,No,No,No,No,3.5mm,No,No,No,No,microSD,Cortex A9,,,,3000,32,,,,No,,,,,,,,,{}
https://gadgets.ndtv.com/dell-latitude-12-rugged-2801,https://gadgets.ndtv.com/static/icons/tablet_icon.png?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,,Latitude 12 Rugged,,,0,0,0,0,0,July 2015,No,11.60,No,No,Yes,512GB,Yes,1366x768 pixels,Windows 8.1,No,Yes,2GHz dual-core,No,Yes,Yes,No,8GB,No,Yes,Yes,No,No,No,3.5mm,No,No,No,No,,Intel Core M,,,,,,,,1,,No,No,No,,,,,,{}
https://gadgets.ndtv.com/hp-pro-slate-8-2336,https://cdn.gadgets360.com/content/assets/products/hp-pro-slate-8-2336_960X480_1438858119.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,,Pro Slate 8,,,0,0,0,0,0,January 2015,2-megapixel,7.90,No,8-megapixel,Yes,16GB,Yes,1536x2048 pixels,Android 4.4,No,Yes,2.3GHz quad-core,No,Yes,Yes,No,2GB,No,Yes,No,No,No,No,3.5mm,Yes,No,No,No,,Qualcomm Snapdragon 800,802.11 a/b/g/n/ac,350.00,136.95 x 206.99 x 7.99,,,4.00,,,,,,,,,,,,{}
